18:12:02 50 docs → 50 segments
18:42:33 [epoch 83/3000] nll=0.7953  best=0.8183  con=1.3876
18:42:55 [epoch 84/3000] nll=0.8714  best=0.7953  con=1.3848
18:43:17 [epoch 85/3000] nll=0.7541  best=0.7953  con=1.3832
18:43:38 [epoch 86/3000] nll=0.6976  best=0.7541  con=1.3786
18:44:00 [epoch 87/3000] nll=0.6827  best=0.6976  con=1.3738
18:44:22 [epoch 88/3000] nll=0.7733  best=0.6827  con=1.3757
18:44:44 [epoch 89/3000] nll=0.7333  best=0.6827  con=1.3725
18:45:06 [epoch 90/3000] nll=0.7151  best=0.6827  con=1.3663
18:45:28 [epoch 91/3000] nll=0.7302  best=0.6827  con=1.3651
18:45:49 [epoch 92/3000] nll=0.7506  best=0.6827  con=1.3674
18:46:11 [epoch 93/3000] nll=0.6880  best=0.6827  con=1.3646
18:46:33 [epoch 94/3000] nll=0.5962  best=0.6827  con=1.3579
18:46:55 [epoch 95/3000] nll=0.5638  best=0.5962  con=1.3522
18:47:17 [epoch 96/3000] nll=0.5334  best=0.5638  con=1.3440
18:47:38 [epoch 97/3000] nll=0.5315  best=0.5334  con=1.3425
18:48:00 [epoch 98/3000] nll=0.4933  best=0.5315  con=1.3366
18:48:22 [epoch 99/3000] nll=0.4824  best=0.4933  con=1.3339
18:48:44 [epoch 100/3000] nll=0.4956  best=0.4824  con=1.3277
18:49:06 [epoch 101/3000] nll=0.4543  best=0.4824  con=1.3224
18:49:27 [epoch 102/3000] nll=0.4311  best=0.4543  con=1.3162
18:49:49 [epoch 103/3000] nll=0.4299  best=0.4311  con=1.3121
18:50:11 [epoch 104/3000] nll=0.5033  best=0.4299  con=1.3080
18:50:33 [epoch 105/3000] nll=0.4358  best=0.4299  con=1.3039
18:50:55 [epoch 106/3000] nll=0.4207  best=0.4299  con=1.3007
18:51:16 [epoch 107/3000] nll=0.4156  best=0.4207  con=1.2937
18:51:38 [epoch 108/3000] nll=0.4090  best=0.4156  con=1.2873
18:52:00 [epoch 109/3000] nll=0.3970  best=0.4090  con=1.2802
18:52:22 [epoch 110/3000] nll=0.3832  best=0.3970  con=1.2752
18:52:44 [epoch 111/3000] nll=0.3436  best=0.3832  con=1.2684
18:53:06 [epoch 112/3000] nll=0.3191  best=0.3436  con=1.2644
18:53:27 [epoch 113/3000] nll=0.3274  best=0.3191  con=1.2583
18:53:49 [epoch 114/3000] nll=0.2865  best=0.3191  con=1.2516
18:54:11 [epoch 115/3000] nll=0.2813  best=0.2865  con=1.2446
18:54:33 [epoch 116/3000] nll=0.2927  best=0.2813  con=1.2395
18:54:55 [epoch 117/3000] nll=0.3218  best=0.2813  con=1.2338
18:55:16 [epoch 118/3000] nll=0.2939  best=0.2813  con=1.2275
18:55:38 [epoch 119/3000] nll=0.3031  best=0.2813  con=1.2196
18:56:00 [epoch 120/3000] nll=0.3012  best=0.2813  con=1.2141
18:56:22 [epoch 121/3000] nll=0.2806  best=0.2813  con=1.2077
18:56:44 [epoch 122/3000] nll=0.3123  best=0.2806  con=1.2004
18:57:05 [epoch 123/3000] nll=0.2646  best=0.2806  con=1.1961
18:57:27 [epoch 124/3000] nll=0.2309  best=0.2646  con=1.1884
18:57:49 [epoch 125/3000] nll=0.2357  best=0.2309  con=1.1826
18:58:11 [epoch 126/3000] nll=0.2296  best=0.2309  con=1.1759
18:58:33 [epoch 127/3000] nll=0.2294  best=0.2296  con=1.1706
18:58:55 [epoch 128/3000] nll=0.1954  best=0.2294  con=1.1635
18:59:16 [epoch 129/3000] nll=0.1988  best=0.1954  con=1.1571
18:59:38 [epoch 130/3000] nll=0.1922  best=0.1954  con=1.1504
19:00:00 [epoch 131/3000] nll=0.2042  best=0.1922  con=1.1446
19:00:22 [epoch 132/3000] nll=0.2065  best=0.1922  con=1.1404
19:00:44 [epoch 133/3000] nll=0.1832  best=0.1922  con=1.1337
19:01:05 [epoch 134/3000] nll=0.1762  best=0.1832  con=1.1276
19:01:27 [epoch 135/3000] nll=0.1965  best=0.1762  con=1.1228
19:01:49 [epoch 136/3000] nll=0.2151  best=0.1762  con=1.1167
19:02:11 [epoch 137/3000] nll=0.1961  best=0.1762  con=1.1125
19:02:33 [epoch 138/3000] nll=0.1756  best=0.1762  con=1.1058
19:02:54 [epoch 139/3000] nll=0.1651  best=0.1756  con=1.0992
19:03:16 [epoch 140/3000] nll=0.1654  best=0.1651  con=1.0930
19:03:38 [epoch 141/3000] nll=0.1502  best=0.1651  con=1.0872
19:04:00 [epoch 142/3000] nll=0.1417  best=0.1502  con=1.0816
19:04:22 [epoch 143/3000] nll=0.1461  best=0.1417  con=1.0749
19:04:43 [epoch 144/3000] nll=0.1378  best=0.1417  con=1.0695
19:05:05 [epoch 145/3000] nll=0.1438  best=0.1378  con=1.0631
19:05:27 [epoch 146/3000] nll=0.1635  best=0.1378  con=1.0579
19:05:49 [epoch 147/3000] nll=0.1553  best=0.1378  con=1.0521
19:06:11 [epoch 148/3000] nll=0.1593  best=0.1378  con=1.0472
19:06:32 [epoch 149/3000] nll=0.1511  best=0.1378  con=1.0417
19:06:54 [epoch 150/3000] nll=0.1373  best=0.1378  con=1.0364
19:07:16 [epoch 151/3000] nll=0.1293  best=0.1373  con=1.0309
19:07:38 [epoch 152/3000] nll=0.1243  best=0.1293  con=1.0255
19:08:00 [epoch 153/3000] nll=0.1235  best=0.1243  con=1.0199
19:08:21 [epoch 154/3000] nll=0.1156  best=0.1235  con=1.0144
19:08:43 [epoch 155/3000] nll=0.1149  best=0.1156  con=1.0091
19:09:05 [epoch 156/3000] nll=0.1138  best=0.1149  con=1.0037
19:09:27 [epoch 157/3000] nll=0.1292  best=0.1138  con=0.9994
19:09:48 [epoch 158/3000] nll=0.1161  best=0.1138  con=0.9939
19:10:10 [epoch 159/3000] nll=0.1248  best=0.1138  con=0.9901
19:10:32 [epoch 160/3000] nll=0.1617  best=0.1138  con=0.9852
19:10:54 [epoch 161/3000] nll=0.1394  best=0.1138  con=0.9818
19:11:16 [epoch 162/3000] nll=0.1542  best=0.1138  con=0.9774
