08:27:06 10 docs → 36 segments
08:27:17 [epoch 0/300] nll=3.5851  best=inf  con=3.5951
08:27:27 [epoch 1/300] nll=4.4427  best=3.5851  con=2.8598
08:27:37 [epoch 2/300] nll=3.7135  best=3.5851  con=2.1779
08:27:47 [epoch 3/300] nll=3.9243  best=3.5851  con=1.7683
08:27:57 [epoch 4/300] nll=3.9169  best=3.5851  con=1.4692
08:28:06 [epoch 5/300] nll=3.8963  best=3.5851  con=1.3421
08:28:13 [epoch 6/300] nll=4.0471  best=3.5851  con=1.2900
08:28:20 [epoch 7/300] nll=3.6493  best=3.5851  con=1.2335
08:28:26 [epoch 8/300] nll=3.1196  best=3.5851  con=1.2138
08:28:33 [epoch 9/300] nll=2.9334  best=3.1196  con=1.1747
08:28:40 [epoch 10/300] nll=2.6651  best=2.9334  con=1.1466
08:28:46 [epoch 11/300] nll=2.7474  best=2.6651  con=1.0926
08:28:53 [epoch 12/300] nll=2.7871  best=2.6651  con=1.0534
08:28:59 [epoch 13/300] nll=2.8937  best=2.6651  con=1.0551
08:29:06 [epoch 14/300] nll=2.7326  best=2.6651  con=1.0417
08:29:12 [epoch 15/300] nll=2.6834  best=2.6651  con=1.0538
08:29:19 [epoch 16/300] nll=2.6392  best=2.6651  con=1.0420
08:29:25 [epoch 17/300] nll=2.6634  best=2.6392  con=1.0402
08:29:32 [epoch 18/300] nll=2.4729  best=2.6392  con=1.0713
08:29:38 [epoch 19/300] nll=2.3649  best=2.4729  con=1.0657
08:29:45 [epoch 20/300] nll=2.2180  best=2.3649  con=1.0631
08:29:51 [epoch 21/300] nll=2.0067  best=2.2180  con=1.0686
08:29:57 [epoch 22/300] nll=2.0485  best=2.0067  con=1.0711
08:30:04 [epoch 23/300] nll=2.1075  best=2.0067  con=1.0744
08:30:11 [epoch 24/300] nll=1.8614  best=2.0067  con=1.0801
08:30:17 [epoch 25/300] nll=1.7743  best=1.8614  con=1.0776
08:30:23 [epoch 26/300] nll=1.6750  best=1.7743  con=1.0834
08:30:30 [epoch 27/300] nll=1.9849  best=1.6750  con=1.0864
08:30:36 [epoch 28/300] nll=1.7011  best=1.6750  con=1.1073
08:30:42 [epoch 29/300] nll=1.6330  best=1.6750  con=1.1135
08:30:49 [epoch 30/300] nll=1.6750  best=1.6330  con=1.1147
08:30:55 [epoch 31/300] nll=1.5607  best=1.6330  con=1.1037
08:31:01 [epoch 32/300] nll=1.5286  best=1.5607  con=1.1241
08:31:08 [epoch 33/300] nll=1.4921  best=1.5286  con=1.1232
08:31:14 [epoch 34/300] nll=1.3949  best=1.4921  con=1.1266
08:31:21 [epoch 35/300] nll=1.3759  best=1.3949  con=1.1413
08:31:27 [epoch 36/300] nll=1.4031  best=1.3759  con=1.1408
08:31:33 [epoch 37/300] nll=1.2991  best=1.3759  con=1.1501
08:31:40 [epoch 38/300] nll=1.2227  best=1.2991  con=1.1564
08:31:46 [epoch 39/300] nll=1.2544  best=1.2227  con=1.1638
08:31:52 [epoch 40/300] nll=1.1553  best=1.2227  con=1.1668
08:31:58 [epoch 41/300] nll=0.9709  best=1.1553  con=1.1664
08:32:05 [epoch 42/300] nll=1.0505  best=0.9709  con=1.1695
08:32:11 [epoch 43/300] nll=0.9647  best=0.9709  con=1.1733
08:32:18 [epoch 44/300] nll=0.8643  best=0.9647  con=1.1722
08:32:24 [epoch 45/300] nll=0.8438  best=0.8643  con=1.1703
08:32:30 [epoch 46/300] nll=0.8008  best=0.8438  con=1.1659
08:32:36 [epoch 47/300] nll=0.8225  best=0.8008  con=1.1617
08:32:43 [epoch 48/300] nll=0.8571  best=0.8008  con=1.1601
08:32:49 [epoch 49/300] nll=0.7685  best=0.8008  con=1.1599
08:32:55 [epoch 50/300] nll=0.6477  best=0.7685  con=1.1519
08:33:03 [epoch 51/300] nll=0.7169  best=0.6477  con=1.1556
08:33:10 [epoch 52/300] nll=0.6228  best=0.6477  con=1.1508
08:33:16 [epoch 53/300] nll=0.6377  best=0.6228  con=1.1485
08:33:22 [epoch 54/300] nll=0.5445  best=0.6228  con=1.1444
08:33:28 [epoch 55/300] nll=0.5398  best=0.5445  con=1.1381
08:33:34 [epoch 56/300] nll=0.4738  best=0.5398  con=1.1287
08:33:41 [epoch 57/300] nll=0.5083  best=0.4738  con=1.1249
08:33:47 [epoch 58/300] nll=0.5563  best=0.4738  con=1.1234
08:33:53 [epoch 59/300] nll=0.5064  best=0.4738  con=1.1209
08:33:59 [epoch 60/300] nll=0.4467  best=0.4738  con=1.1158
08:34:05 [epoch 61/300] nll=0.4400  best=0.4467  con=1.1077
08:34:12 [epoch 62/300] nll=0.4253  best=0.4400  con=1.1005
08:34:18 [epoch 63/300] nll=0.3962  best=0.4253  con=1.0933
08:34:24 [epoch 64/300] nll=0.3828  best=0.3962  con=1.0822
08:34:30 [epoch 65/300] nll=0.5147  best=0.3828  con=1.0737
08:34:37 [epoch 66/300] nll=0.3399  best=0.3828  con=1.0655
08:34:43 [epoch 67/300] nll=0.2875  best=0.3399  con=1.0558
08:34:49 [epoch 68/300] nll=0.2810  best=0.2875  con=1.0430
08:34:55 [epoch 69/300] nll=0.2830  best=0.2810  con=1.0325
08:35:02 [epoch 70/300] nll=0.2796  best=0.2810  con=1.0236
08:35:08 [epoch 71/300] nll=0.2644  best=0.2796  con=1.0111
08:35:14 [epoch 72/300] nll=0.2581  best=0.2644  con=0.9995
08:35:20 [epoch 73/300] nll=0.2578  best=0.2581  con=0.9859
08:35:27 [epoch 74/300] nll=0.2126  best=0.2578  con=0.9760
08:35:33 [epoch 75/300] nll=0.2356  best=0.2126  con=0.9649
08:35:39 [epoch 76/300] nll=0.2485  best=0.2126  con=0.9548
08:35:45 [epoch 77/300] nll=0.2231  best=0.2126  con=0.9433
08:35:51 [epoch 78/300] nll=0.2701  best=0.2126  con=0.9332
08:35:58 [epoch 79/300] nll=0.2176  best=0.2126  con=0.9244
08:36:04 [epoch 80/300] nll=0.1922  best=0.2126  con=0.9136
08:36:10 [epoch 81/300] nll=0.1740  best=0.1922  con=0.9025
08:36:16 [epoch 82/300] nll=0.1789  best=0.1740  con=0.8919
08:36:23 [epoch 83/300] nll=0.2472  best=0.1740  con=0.8958
08:36:29 [epoch 84/300] nll=0.3537  best=0.1740  con=0.8920
08:36:35 [epoch 85/300] nll=0.2745  best=0.1740  con=0.8863
08:36:42 [epoch 86/300] nll=0.2368  best=0.1740  con=0.8812
08:36:48 [epoch 87/300] nll=0.2112  best=0.1740  con=0.8755
08:36:54 [epoch 88/300] nll=0.1733  best=0.1740  con=0.8724
08:37:00 [epoch 89/300] nll=0.1549  best=0.1733  con=0.8652
08:37:07 [epoch 90/300] nll=0.2443  best=0.1549  con=0.8565
08:37:13 [epoch 91/300] nll=0.2874  best=0.1549  con=0.8554
08:37:19 [epoch 92/300] nll=0.4378  best=0.1549  con=0.8569
08:37:25 [epoch 93/300] nll=0.2476  best=0.1549  con=0.8524
08:37:32 [epoch 94/300] nll=0.2294  best=0.1549  con=0.8509
08:37:38 [epoch 95/300] nll=0.2322  best=0.1549  con=0.8535
08:37:44 [epoch 96/300] nll=0.2383  best=0.1549  con=0.8514
08:37:50 [epoch 97/300] nll=0.2331  best=0.1549  con=0.8502
08:37:56 [epoch 98/300] nll=0.2144  best=0.1549  con=0.8500
08:38:02 [epoch 99/300] nll=0.4840  best=0.1549  con=0.8468
08:38:09 [epoch 100/300] nll=0.5430  best=0.1549  con=0.8550
08:38:15 [epoch 101/300] nll=0.3984  best=0.1549  con=0.8528
08:38:21 [epoch 102/300] nll=0.3822  best=0.1549  con=0.8493
08:38:27 [epoch 103/300] nll=0.5155  best=0.1549  con=0.8442
08:38:34 [epoch 104/300] nll=0.3098  best=0.1549  con=0.8412
08:38:40 [epoch 105/300] nll=0.4136  best=0.1549  con=0.8426
08:38:46 [epoch 106/300] nll=0.3686  best=0.1549  con=0.8454
08:38:52 [epoch 107/300] nll=0.2850  best=0.1549  con=0.8424
08:38:58 [epoch 108/300] nll=0.2471  best=0.1549  con=0.8409
08:39:05 [epoch 109/300] nll=0.3973  best=0.1549  con=0.8364
08:39:11 [epoch 110/300] nll=0.2788  best=0.1549  con=0.8318
08:39:17 [epoch 111/300] nll=0.2324  best=0.1549  con=0.8337
